,Unnamed: 0,ppt_mean,soil_mean,tmax_mean,tmin_mean
62599,62599,93.6875,77.5375,22.940002,12.382502
5232,5232,81.145836,122.370834,19.288334,8.497084
27003,27003,93.6875,77.5375,22.940002,12.382502
99900,99900,92.28333,118.416664,23.425419,13.350835
74394,74394,43.770832,15.45,22.38042,11.197084
116655,116655,51.445835,15.925,21.000834,7.123335
103194,103194,138.35,277.14166,32.952084,21.814169
123487,123487,80.9125,65.520836,23.243753,12.231252
95243,95243,48.716667,16.533333,19.410002,6.081251
94645,94645,114.45417,133.55,23.985836,13.402919
123405,123405,93.6875,77.5375,22.940002,12.382502
112785,112785,70.92917,34.466667,21.43625,8.487085
98296,98296,70.25,53.241665,22.970419,10.122085
38902,38902,68.21667,45.670834,23.302917,10.192918
113129,113129,19.891666,0.15833333,24.972502,10.5875025
122241,122241,72.691666,86.14167,20.092503,9.288334
146212,146212,51.3625,18.3,21.687502,10.463751
39001,39001,71.6125,90.24167,16.268335,4.396251
124529,124529,90.379166,82.95417,25.990417,15.202918
113144,113144,70.3,19.683332,20.349585,8.370419
100022,100022,48.070835,8.204166,25.439585,10.715835
69740,69740,54.4625,58.495834,24.615835,13.185419
62455,62455,80.35,87.754166,26.784586,15.761668
82771,82771,80.145836,73.67083,18.826254,6.1395855
32519,32519,68.05,50.333332,28.620419,17.315002
50784,50784,55.4125,59.841667,24.416668,13.272084
129115,129115,77.97083,75.15,23.475416,12.692918
16274,16274,59.8875,16.433332,20.677086,6.9666686
132325,132325,100.15,131.19167,20.143751,9.436667
12178,12178,54.816666,36.679165,20.752087,8.437918
93982,93982,259.55,397.04584,27.437504,17.419168
99186,99186,74.995834,53.404167,23.620836,12.995419
39359,39359,55.4125,59.841667,24.416668,13.272084
88261,88261,40.629166,6.1291666,20.451254,10.169168
47407,47407,94.35,133.16667,26.04917,15.132085
48153,48153,66.4375,19.629168,20.432085,8.762085
85551,85551,120.041664,131.97917,24.496252,13.979585
33786,33786,64.84583,38.829166,23.933336,11.937085
77666,77666,97.30417,77.72083,23.370419,12.918752
125622,125622,118.10833,133.20416,24.323336,13.776251
101101,101101,101.8625,169.29584,20.74292,10.478751
59687,59687,49.454166,15.254167,20.13042,6.6945844
84262,84262,74.995834,53.404167,23.620836,12.995419
21852,21852,55.804165,25.758333,18.90667,9.885001
92222,92222,80.9125,65.520836,23.243753,12.231252
122447,122447,98.7,127.17083,23.598753,13.402085
115654,115654,74.995834,53.404167,23.620836,12.995419
102769,102769,74.995834,53.404167,23.620836,12.995419
16307,16307,97.325,86.754166,22.90667,13.723752
32552,32552,48.216667,25.0375,19.325418,8.128752
129752,129752,93.42917,71.479164,22.954586,12.212919
89277,89277,93.6875,77.5375,22.940002,12.382502
16039,16039,92.45,121.01667,24.197916,13.051251
31011,31011,66.75,43.4625,23.803337,11.895418
95449,95449,74.995834,53.404167,23.620836,12.995419
2970,2970,84.4875,75.395836,25.44042,13.117503
77238,77238,127.77917,214.21666,33.24375,21.229586
